,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c_1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV_transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Adipose_Subcutaneous,1.0,0.016113,0.001975,0.001292,0.003187,0.008232,0.000608,0.0,0.001444,0.003026,0.000692,0.001951,0.001438,0.001217,0.000817,0.002255,0.001134,0.0,0.000276,0.002295,0.01112,0.0,0.001222,0.006138,0.000784,0.006833,0.002783,0.005763,0.002041,0.014365,0.0,0.00211,0.011597,0.010915,0.0,0.004169,0.002837,0.000387,0.0,0.001717,0.0016,0.013042,0.002208,0.005138,0.004878,0.001173,0.004572,0.001356,0.002434,0.0
Adipose_Visceral_Omentum,0.016113,1.0,0.0,0.001672,0.002995,0.003919,0.00176,0.0,0.0,0.0,0.00047,0.001252,0.001818,0.0,0.000149,0.000401,0.0,0.0,0.000139,0.000198,0.0,0.001187,0.000229,0.003332,0.003001,0.003505,0.005896,0.003876,0.003077,0.0,0.0,0.001137,0.006069,0.007228,0.01,0.002185,0.001803,0.000194,0.00129,0.001626,0.0,0.003297,0.002933,0.005674,0.0,0.003774,0.003188,0.001598,0.000925,0.008
Adrenal_Gland,0.001975,0.0,1.0,0.025159,0.018981,0.017464,0.015007,0.005442,0.0075,0.012423,0.012649,0.009047,0.014777,0.009735,0.009549,0.011162,0.007793,0.0,0.009148,0.009879,0.007299,0.006205,0.005979,0.024242,0.008359,0.028775,0.022162,0.0249,0.010366,0.012554,0.001575,0.014425,0.02183,0.009869,0.00122,0.013145,0.017143,0.002213,0.006816,0.008177,0.009334,0.006758,0.016455,0.011316,0.002948,0.009404,0.013605,0.023428,0.015177,0.001877
Artery_Aorta,0.001292,0.001672,0.025159,1.0,0.034614,0.030358,0.009755,0.010455,0.007603,0.009454,0.016854,0.010263,0.012733,0.010399,0.008283,0.010682,0.007827,0.0,0.011319,0.009663,0.009663,0.005789,0.012037,0.031958,0.01792,0.036363,0.025276,0.018254,0.006529,0.006302,0.000308,0.011873,0.026128,0.01024,0.0,0.022924,0.037607,0.006059,0.007126,0.023446,0.011103,0.008073,0.019715,0.011515,0.002143,0.011291,0.027228,0.037992,0.022588,0.00127
Artery_Coronary,0.003187,0.002995,0.018981,0.034614,1.0,0.022606,0.010282,0.007187,0.003912,0.004679,0.009904,0.012547,0.01141,0.008034,0.00535,0.008354,0.005489,0.0,0.007161,0.01615,0.011768,0.00674,0.007174,0.021644,0.019167,0.035213,0.03106,0.02497,0.009036,0.010038,0.0,0.005861,0.02612,0.007447,0.002068,0.013555,0.024095,0.007056,0.007177,0.010903,0.007589,0.017896,0.019144,0.011304,0.004902,0.010022,0.022679,0.025505,0.017499,0.000939
Artery_Tibial,0.008232,0.003919,0.017464,0.030358,0.022606,1.0,0.008619,0.005181,0.005061,0.011078,0.008409,0.012215,0.012784,0.008206,0.008742,0.011955,0.006447,0.001274,0.006595,0.009482,0.006887,0.006392,0.013539,0.023218,0.016173,0.024247,0.017552,0.03072,0.006641,0.008029,0.0,0.014791,0.020247,0.013315,0.0,0.02447,0.018401,0.001885,0.008496,0.011403,0.006117,0.007761,0.011139,0.014281,0.00101,0.012637,0.029293,0.020368,0.015042,0.002717
Bladder,0.000608,0.00176,0.015007,0.009755,0.010282,0.008619,1.0,0.004295,0.004603,0.006262,0.010555,0.021807,0.009612,0.005698,0.005994,0.004506,0.002879,0.0,0.005204,0.004825,0.000763,0.004255,0.008244,0.021,0.019176,0.014127,0.005527,0.010539,0.002461,0.001866,0.000925,0.007383,0.007622,0.010843,0.0,0.012028,0.022315,0.010705,0.005355,0.006912,0.008075,0.008576,0.015767,0.008216,0.001055,0.004627,0.01154,0.017985,0.021514,0.0
Brain_Amygdala,0.0,0.0,0.005442,0.010455,0.007187,0.005181,0.004295,1.0,0.022733,0.010252,0.022892,0.011647,0.014549,0.022588,0.037335,0.011904,0.04748,0.005747,0.020257,0.021188,0.00414,0.003004,0.00562,0.008858,0.001596,0.015356,0.010603,0.006042,0.002418,0.002669,0.000797,0.004576,0.008372,0.003425,0.0,0.003278,0.010545,0.0,0.004399,0.004649,0.001986,0.003779,0.002559,0.00125,0.0,0.010483,0.005515,0.013121,0.006132,0.000264
Brain_Anterior_cingulate_cortex_BA24,0.001444,0.0,0.0075,0.007603,0.003912,0.005061,0.004603,0.022733,1.0,0.024563,0.016145,0.012892,0.040809,0.035853,0.04101,0.028007,0.056194,0.004924,0.023941,0.0194,0.004812,0.000347,0.00574,0.005,0.002166,0.007776,0.004907,0.004939,0.004356,0.007524,0.001237,0.005621,0.012795,0.007286,0.0,0.006096,0.00468,0.000619,0.00411,0.003294,0.003025,0.00245,0.002265,0.004113,0.0,0.005623,0.001564,0.008994,0.00424,0.000845
Brain_Caudate_basal_ganglia,0.003026,0.0,0.012423,0.009454,0.004679,0.011078,0.006262,0.010252,0.024563,1.0,0.006089,0.008447,0.010859,0.017239,0.065091,0.0344,0.037445,0.006381,0.026759,0.034214,0.001335,0.002151,0.00459,0.004734,0.002196,0.006949,0.005678,0.002873,0.00699,0.017215,0.001575,0.019417,0.006275,0.007175,0.0,0.005205,0.007753,0.001311,0.005971,0.004324,0.0073,0.00345,0.004188,0.002082,0.00105,0.006732,0.004889,0.008131,0.00657,0.000352
