,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c_1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV_transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Adipose_Subcutaneous,1.0,0.042373,0.017992,0.01546,0.024793,0.030591,0.005572,0.004082,0.010094,0.00736,0.005414,0.010792,0.005719,0.009217,0.009125,0.009676,0.011029,0.004673,0.005882,0.012377,0.045249,0.016051,0.007168,0.011295,0.018703,0.022746,0.018773,0.018156,0.02834,0.033241,0.0,0.012998,0.037288,0.006021,0.010309,0.014038,0.010149,0.009066,0.013944,0.01238,0.019802,0.030501,0.006552,0.011799,0.020833,0.005724,0.011525,0.006446,0.009101,0.0
Adipose_Visceral_Omentum,0.042373,1.0,0.008815,0.004304,0.009816,0.011944,0.002803,0.00299,0.002755,0.005183,0.002105,0.00438,0.002905,0.002695,0.0046,0.005233,0.005639,0.0,0.002641,0.005618,0.01087,0.010309,0.002211,0.006953,0.007117,0.012998,0.011842,0.016345,0.019512,0.01548,0.0,0.007469,0.019784,0.005045,0.019231,0.007666,0.004513,0.003759,0.017544,0.008759,0.007634,0.01182,0.00458,0.007165,0.009901,0.005089,0.00828,0.003102,0.003889,0.015873
Adrenal_Gland,0.017992,0.008815,1.0,0.104225,0.124129,0.090909,0.056363,0.0588,0.047412,0.071051,0.083049,0.087241,0.068167,0.0414,0.071842,0.068127,0.06675,0.000892,0.075995,0.07473,0.037375,0.028724,0.046627,0.085533,0.098218,0.146486,0.108892,0.092123,0.04219,0.050041,0.002525,0.101868,0.102322,0.042933,0.003996,0.089286,0.091302,0.055933,0.043478,0.071056,0.040205,0.043873,0.054198,0.062569,0.011516,0.065835,0.066111,0.078032,0.062107,0.004946
Artery_Aorta,0.01546,0.004304,0.104225,1.0,0.147059,0.130958,0.060124,0.057475,0.049094,0.08669,0.110515,0.090647,0.092955,0.041126,0.079821,0.061956,0.070984,0.004714,0.104403,0.088279,0.027248,0.032432,0.056321,0.120853,0.124348,0.137443,0.094764,0.080819,0.028898,0.02932,0.002554,0.105505,0.078812,0.03868,0.0,0.103524,0.124216,0.06364,0.036564,0.065643,0.031209,0.044153,0.089239,0.056829,0.009213,0.06364,0.095109,0.083214,0.086746,0.005076
Artery_Coronary,0.024793,0.009816,0.124129,0.147059,1.0,0.113546,0.050584,0.060885,0.050597,0.069483,0.068863,0.080246,0.069689,0.034275,0.071537,0.058169,0.065277,0.002191,0.062749,0.075254,0.05079,0.041406,0.048829,0.086382,0.090625,0.179298,0.134082,0.108611,0.056478,0.056102,0.0,0.076541,0.151888,0.044444,0.002513,0.074693,0.085593,0.073416,0.034217,0.06213,0.049948,0.070255,0.064016,0.069264,0.013158,0.06571,0.069106,0.075115,0.047333,0.01125
Artery_Tibial,0.030591,0.011944,0.090909,0.130958,0.113546,1.0,0.059653,0.061216,0.051434,0.071197,0.072175,0.094058,0.067559,0.042279,0.078641,0.07312,0.066349,0.001957,0.071879,0.073937,0.041041,0.044928,0.055291,0.10276,0.099526,0.152707,0.093666,0.117733,0.035054,0.052538,0.00053,0.089304,0.088055,0.041716,0.003319,0.095161,0.091075,0.038919,0.045202,0.056049,0.04,0.055144,0.06313,0.063042,0.01594,0.066981,0.093049,0.063476,0.075331,0.012128
Bladder,0.005572,0.002803,0.056363,0.060124,0.050584,0.059653,1.0,0.076409,0.084211,0.117246,0.1485,0.174083,0.096567,0.055245,0.154922,0.105962,0.087716,0.004332,0.150263,0.107601,0.014677,0.024318,0.053072,0.118644,0.099171,0.089302,0.04473,0.055462,0.01441,0.025551,0.011707,0.100564,0.03972,0.060243,0.001004,0.057979,0.112023,0.058222,0.026256,0.034032,0.019231,0.025847,0.070564,0.048582,0.004391,0.050507,0.062974,0.092028,0.106736,0.002811
Brain_Amygdala,0.004082,0.00299,0.0588,0.057475,0.060885,0.061216,0.076409,1.0,0.137803,0.110009,0.112278,0.132966,0.105727,0.102894,0.118357,0.137778,0.160449,0.021363,0.0982,0.098182,0.019417,0.032091,0.056786,0.087574,0.073592,0.096238,0.0562,0.059397,0.018592,0.029931,0.007657,0.073951,0.044863,0.044657,0.001212,0.053788,0.078637,0.052902,0.036163,0.031996,0.025881,0.033656,0.061095,0.04787,0.007105,0.06422,0.055208,0.063834,0.072634,0.003016
Brain_Anterior_cingulate_cortex_BA24,0.010094,0.002755,0.047412,0.049094,0.050597,0.051434,0.084211,0.137803,1.0,0.157283,0.115833,0.160931,0.193021,0.225834,0.163602,0.189055,0.244472,0.026525,0.083875,0.163996,0.018229,0.024492,0.045038,0.093706,0.086926,0.071068,0.052967,0.049364,0.018614,0.046626,0.010478,0.081296,0.03678,0.03526,0.002101,0.056518,0.065266,0.03776,0.043626,0.0345,0.028178,0.033772,0.056283,0.045133,0.004752,0.042718,0.04037,0.055861,0.064165,0.004878
Brain_Caudate_basal_ganglia,0.00736,0.005183,0.071051,0.08669,0.069483,0.071197,0.117246,0.110009,0.157283,1.0,0.210278,0.208381,0.22983,0.181723,0.272497,0.156972,0.205729,0.028986,0.148153,0.164491,0.013893,0.031107,0.063804,0.117743,0.115494,0.099057,0.062745,0.055793,0.019868,0.037438,0.009955,0.113018,0.043276,0.048759,0.002606,0.077041,0.11806,0.052456,0.04555,0.046171,0.023973,0.039434,0.091091,0.053337,0.008059,0.065283,0.063484,0.080069,0.109644,0.001946
Brain_Cerebellar_Hemisphere,0.005414,0.002105,0.083049,0.110515,0.068863,0.072175,0.1485,0.112278,0.115833,0.210278,1.0,0.355263,0.193271,0.114205,0.19979,0.118657,0.133396,0.005718,0.272316,0.167644,0.011119,0.035275,0.080655,0.144635,0.129738,0.098144,0.06877,0.04568,0.016174,0.027223,0.007709,0.133238,0.044115,0.062518,0.00088,0.092643,0.171257,0.063472,0.036722,0.045282,0.020592,0.033765,0.116553,0.061427,0.004202,0.074704,0.069952,0.119556,0.158897,0.00211
Brain_Cerebellum,0.010792,0.00438,0.087241,0.090647,0.080246,0.094058,0.174083,0.132966,0.160931,0.208381,0.355263,1.0,0.190188,0.139273,0.285643,0.190174,0.169549,0.011596,0.212244,0.174191,0.022441,0.040624,0.082965,0.180147,0.130937,0.120066,0.078632,0.081028,0.01838,0.040425,0.008544,0.149956,0.068813,0.075642,0.002314,0.095687,0.16075,0.065989,0.052597,0.056323,0.030626,0.040911,0.113478,0.074082,0.007358,0.078776,0.084763,0.120006,0.138304,0.00393
Brain_Cortex,0.005719,0.002905,0.068167,0.092955,0.069689,0.067559,0.096567,0.105727,0.193021,0.22983,0.193271,0.190188,1.0,0.248206,0.207911,0.141094,0.184384,0.023246,0.134744,0.159255,0.013649,0.023427,0.053246,0.089898,0.097011,0.093175,0.061475,0.049288,0.021652,0.035326,0.010186,0.089114,0.041577,0.043962,0.002515,0.069541,0.093184,0.048953,0.038533,0.041237,0.02723,0.03633,0.077063,0.053583,0.00494,0.063047,0.048535,0.077533,0.078442,0.00125
Brain_Frontal_Cortex_BA9,0.009217,0.002695,0.0414,0.041126,0.034275,0.042279,0.055245,0.102894,0.225834,0.181723,0.114205,0.139273,0.248206,1.0,0.169289,0.14187,0.184676,0.032005,0.059989,0.098794,0.019157,0.016277,0.040962,0.051317,0.048229,0.052224,0.036632,0.033054,0.015684,0.030842,0.014956,0.038418,0.027547,0.035564,0.0,0.0481,0.042133,0.021856,0.037078,0.027886,0.02011,0.019978,0.036605,0.031897,0.003318,0.036756,0.035109,0.045004,0.043406,0.002721
Brain_Hippocampus,0.009125,0.0046,0.071842,0.079821,0.071537,0.078641,0.154922,0.118357,0.163602,0.272497,0.19979,0.285643,0.207911,0.169289,1.0,0.224417,0.181968,0.02078,0.152517,0.192979,0.02446,0.032225,0.072776,0.150519,0.112707,0.104021,0.073903,0.076398,0.02199,0.043769,0.011366,0.129377,0.06412,0.066762,0.002022,0.075789,0.126209,0.06635,0.047799,0.062064,0.029659,0.037797,0.085879,0.057947,0.008312,0.073746,0.084876,0.103734,0.12516,0.00375
Brain_Hypothalamus,0.009676,0.005233,0.068127,0.061956,0.058169,0.07312,0.105962,0.137778,0.189055,0.156972,0.118657,0.190174,0.141094,0.14187,0.224417,1.0,0.167025,0.01675,0.100489,0.153378,0.026257,0.037535,0.063582,0.119184,0.088398,0.110673,0.07222,0.083527,0.023102,0.066846,0.009782,0.115069,0.06277,0.056118,0.002353,0.063814,0.091665,0.057154,0.050149,0.049753,0.038503,0.037425,0.066667,0.058658,0.015643,0.06257,0.080645,0.06963,0.083556,0.005865
Brain_Nucleus_accumbens_basal_ganglia,0.011029,0.005639,0.06675,0.070984,0.065277,0.066349,0.087716,0.160449,0.244472,0.205729,0.133396,0.169549,0.184384,0.184676,0.181968,0.167025,1.0,0.038556,0.095101,0.142603,0.016617,0.031204,0.051347,0.097688,0.099932,0.083166,0.056118,0.06094,0.022982,0.050992,0.008668,0.096756,0.049624,0.042714,0.003175,0.0703,0.081574,0.035515,0.044048,0.041315,0.021677,0.033845,0.061995,0.04931,0.006799,0.058135,0.058515,0.057765,0.079815,0.003153
