tissue,tau,n_30-39,n_40-49,n_50-59,n_60-69,n_70-79,n_switching
Adipose_Subcutaneous,0.05,1345,508,334,298,1658,4143
Adipose_Subcutaneous,0.1,1358,545,358,284,1097,3642
Adipose_Subcutaneous,0.15,1421,468,371,309,833,3402
Adipose_Subcutaneous,0.2,1533,438,441,312,707,3431
Adipose_Subcutaneous,0.25,1694,476,414,324,634,3542
Adipose_Subcutaneous,0.3,1779,438,456,281,533,3487
Adipose_Subcutaneous,0.35,1287,344,408,241,417,2697
Adipose_Subcutaneous,0.4,680,154,217,138,270,1459
Adipose_Subcutaneous,0.45,233,61,58,58,87,497
Adipose_Subcutaneous,0.5,40,5,14,4,21,84
Adipose_Subcutaneous,0.55,8,1,1,0,1,11
Adipose_Subcutaneous,0.6,0,0,0,0,0,0
Adipose_Subcutaneous,0.65,0,0,0,0,0,0
Adipose_Subcutaneous,0.7,0,0,0,0,0,0
Adipose_Subcutaneous,0.75,0,0,0,0,0,0
Adipose_Subcutaneous,0.8,0,0,0,0,0,0
Adipose_Subcutaneous,0.85,0,0,0,0,0,0
Adipose_Subcutaneous,0.9,0,0,0,0,0,0
Adipose_Subcutaneous,0.95,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.05,1418,1110,405,468,2056,5457
Adipose_Visceral_Omentum,0.1,1372,1395,569,592,1590,5518
Adipose_Visceral_Omentum,0.15,1526,1423,650,750,1325,5674
Adipose_Visceral_Omentum,0.2,1720,1544,820,861,1163,6108
Adipose_Visceral_Omentum,0.25,1585,1734,990,858,927,6094
Adipose_Visceral_Omentum,0.3,1017,1528,1244,880,674,5343
Adipose_Visceral_Omentum,0.35,519,751,1111,775,449,3605
Adipose_Visceral_Omentum,0.4,156,181,515,475,276,1603
Adipose_Visceral_Omentum,0.45,46,11,114,124,87,382
Adipose_Visceral_Omentum,0.5,7,1,4,12,15,39
Adipose_Visceral_Omentum,0.55,0,0,0,0,1,1
Adipose_Visceral_Omentum,0.6,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.65,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.7,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.75,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.8,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.85,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.9,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.95,0,0,0,0,0,0
Adrenal_Gland,0.05,1350,380,251,320,2932,5233
Adrenal_Gland,0.1,946,285,286,453,3152,5122
Adrenal_Gland,0.15,745,228,295,482,2770,4520
Adrenal_Gland,0.2,624,238,257,438,2399,3956
Adrenal_Gland,0.25,559,176,160,420,1916,3231
Adrenal_Gland,0.3,513,158,132,403,1595,2801
Adrenal_Gland,0.35,508,178,83,477,1189,2435
Adrenal_Gland,0.4,452,200,58,637,730,2077
Adrenal_Gland,0.45,466,267,42,460,356,1591
Adrenal_Gland,0.5,369,233,24,206,159,991
Adrenal_Gland,0.55,229,126,8,32,51,446
Adrenal_Gland,0.6,68,29,1,0,14,112
Adrenal_Gland,0.65,6,4,0,0,5,15
Adrenal_Gland,0.7,1,0,0,0,0,1
Adrenal_Gland,0.75,0,0,0,0,0,0
Adrenal_Gland,0.8,0,0,0,0,0,0
Adrenal_Gland,0.85,0,0,0,0,0,0
Adrenal_Gland,0.9,0,0,0,0,0,0
Adrenal_Gland,0.95,0,0,0,0,0,0
Artery_Aorta,0.05,1306,658,612,567,4336,7479
Artery_Aorta,0.1,1008,665,644,639,4504,7460
Artery_Aorta,0.15,1001,622,668,845,3356,6492
Artery_Aorta,0.2,1006,704,674,828,2885,6097
Artery_Aorta,0.25,888,639,612,996,2671,5806
Artery_Aorta,0.3,776,602,592,975,2743,5688
Artery_Aorta,0.35,653,513,588,896,2561,5211
Artery_Aorta,0.4,539,462,564,664,1942,4171
Artery_Aorta,0.45,419,410,411,312,1146,2698
Artery_Aorta,0.5,298,237,198,74,554,1361
Artery_Aorta,0.55,120,93,25,11,171,420
Artery_Aorta,0.6,31,10,1,0,24,66
Artery_Aorta,0.65,2,0,0,0,4,6
Artery_Aorta,0.7,0,0,0,0,0,0
Artery_Aorta,0.75,0,0,0,0,0,0
Artery_Aorta,0.8,0,0,0,0,0,0
Artery_Aorta,0.85,0,0,0,0,0,0
Artery_Aorta,0.9,0,0,0,0,0,0
Artery_Aorta,0.95,0,0,0,0,0,0
Artery_Coronary,0.05,2366,763,381,368,3643,7521
