,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c_1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV_transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Adipose_Subcutaneous,1.0,0.005064,0.000894,0.004774,0.001163,0.00767,0.001774,0.001747,0.001229,0.002572,0.002688,0.001781,0.001188,0.000948,0.003332,0.004098,0.0,0.000467,0.001095,0.0,0.000824,0.000597,0.008718,0.000823,0.006267,0.003267,0.004688,0.001905,0.010757,0.0,0.002087,0.004346,0.00208,0.0,0.00404,0.004934,0.000591,0.0,0.003843,0.009986,0.009581,0.001813,0.000664,0.005675,0.001614,0.001194,0.002935,0.003182,0.0
Adipose_Visceral_Omentum,0.005064,1.0,0.004861,0.013022,0.012362,0.009046,0.004806,0.00286,0.00477,0.007913,0.009509,0.00198,0.004824,0.000199,0.002477,0.000602,0.0,0.001744,0.000899,0.009154,0.004438,0.003028,0.011382,0.014192,0.018121,0.013612,0.009088,0.003333,0.00087,0.000404,0.002351,0.01436,0.001136,0.0,0.007962,0.008662,0.005996,0.004545,0.00446,0.011724,0.009321,0.007347,0.011561,0.0,0.004878,0.008776,0.008077,0.01589,0.0
Adrenal_Gland,0.000894,0.004861,1.0,0.015842,0.019903,0.016732,0.011276,0.010166,0.010978,0.020862,0.019735,0.014019,0.010541,0.010179,0.009603,0.00879,0.000926,0.011139,0.008128,0.002822,0.012685,0.010672,0.026841,0.018025,0.02049,0.017083,0.022513,0.005052,0.002909,0.001706,0.011907,0.020498,0.013336,0.000915,0.015306,0.025815,0.006259,0.011234,0.014965,0.011568,0.015169,0.014827,0.018899,0.002258,0.016951,0.007999,0.024956,0.014976,0.001008
Artery_Aorta,0.004774,0.013022,0.015842,1.0,0.027013,0.028418,0.011581,0.007415,0.01116,0.017748,0.014537,0.008134,0.008558,0.005638,0.007127,0.004165,0.00238,0.00834,0.009941,0.006591,0.009038,0.012193,0.027645,0.021195,0.032264,0.026587,0.021901,0.003863,0.006517,0.000667,0.014015,0.024703,0.007936,0.000336,0.02089,0.030065,0.005081,0.010962,0.017519,0.011975,0.007046,0.019196,0.016902,0.001825,0.01153,0.027783,0.028448,0.017341,0.00087
Artery_Coronary,0.001163,0.012362,0.019903,0.027013,1.0,0.017029,0.004449,0.006224,0.006018,0.009079,0.01073,0.007012,0.004883,0.002668,0.005387,0.002217,0.001951,0.003672,0.004924,0.003317,0.009422,0.007609,0.015637,0.014861,0.030786,0.01984,0.024123,0.003972,0.00606,0.000565,0.005692,0.019226,0.004455,0.000496,0.01082,0.019029,0.009394,0.008791,0.017072,0.014304,0.008276,0.011781,0.012904,0.001821,0.01013,0.01393,0.016739,0.009132,0.001408
Artery_Tibial,0.00767,0.009046,0.016732,0.028418,0.017029,1.0,0.005992,0.005563,0.015479,0.008939,0.011925,0.01325,0.004597,0.007968,0.007018,0.00174,0.000495,0.00579,0.00647,0.00591,0.008952,0.007718,0.021524,0.015329,0.030976,0.020554,0.028918,0.004144,0.013548,0.002815,0.014185,0.023079,0.013087,0.000649,0.029353,0.016937,0.001774,0.007793,0.012839,0.013113,0.013517,0.011882,0.009232,0.001286,0.016187,0.021068,0.014534,0.014468,0.000625
Brain_Amygdala,0.001774,0.004806,0.011276,0.011581,0.004449,0.005992,1.0,0.04286,0.031213,0.035946,0.02487,0.023929,0.019948,0.03669,0.034021,0.03596,0.007523,0.031568,0.01683,0.002111,0.003873,0.008488,0.007525,0.001336,0.013489,0.008956,0.003655,0.003169,0.00512,0.001727,0.005867,0.010654,0.010493,0.0,0.004284,0.011119,0.000183,0.002822,0.006663,0.00428,0.001958,0.004067,0.00336,0.0,0.006652,0.005839,0.017789,0.003899,0.000363
Brain_Anterior_cingulate_cortex_BA24,0.001747,0.00286,0.010166,0.007415,0.006224,0.005563,0.04286,1.0,0.02602,0.025009,0.01855,0.050152,0.04885,0.044544,0.039074,0.039542,0.024097,0.015987,0.018621,0.001463,0.001356,0.00449,0.006309,0.001176,0.011399,0.010536,0.013374,0.003708,0.01018,0.002273,0.001731,0.007984,0.005829,0.0,0.007714,0.009585,0.000595,0.005052,0.002783,0.002929,0.003909,0.002049,0.002201,0.0,0.003906,0.004621,0.010933,0.006572,0.0
Brain_Caudate_basal_ganglia,0.001229,0.00477,0.010978,0.01116,0.006018,0.015479,0.031213,0.02602,1.0,0.015287,0.023466,0.020367,0.002764,0.051509,0.029428,0.023272,0.006561,0.04043,0.030739,0.001496,0.003746,0.009191,0.010616,0.0049,0.012164,0.01501,0.006154,0.006249,0.011636,0.001263,0.018237,0.014968,0.012476,0.0,0.004909,0.011628,0.001652,0.007116,0.008715,0.002324,0.004557,0.008803,0.007697,0.00253,0.014438,0.012202,0.014109,0.009412,6.4e-05
Brain_Cerebellar_Hemisphere,0.002572,0.007913,0.020862,0.017748,0.009079,0.008939,0.035946,0.025009,0.015287,1.0,0.093937,0.033926,0.037393,0.016722,0.019596,0.020066,0.003108,0.04061,0.012704,0.002633,0.006789,0.006587,0.015984,0.011762,0.018404,0.018814,0.010191,0.001091,0.001399,0.00234,0.005418,0.008762,0.008296,0.000442,0.013788,0.021218,0.007463,0.009793,0.010065,0.009662,0.00538,0.007555,0.0071,0.001376,0.013243,0.00963,0.021447,0.016817,0.0
Brain_Cerebellum,0.002688,0.009509,0.019735,0.014537,0.01073,0.011925,0.02487,0.01855,0.023466,0.093937,1.0,0.031358,0.038052,0.015936,0.016619,0.013106,0.002513,0.016853,0.016784,0.002155,0.010612,0.010011,0.020003,0.019813,0.024952,0.022759,0.015735,0.000947,0.003509,0.0006,0.011006,0.009151,0.008805,0.000425,0.013979,0.024259,0.009032,0.014586,0.010247,0.007481,0.006397,0.008993,0.012164,0.001109,0.01565,0.015636,0.019338,0.024692,0.000426
Brain_Cortex,0.001781,0.00198,0.014019,0.008134,0.007012,0.01325,0.023929,0.050152,0.020367,0.033926,0.031358,1.0,0.066867,0.027718,0.026724,0.04045,0.006771,0.023326,0.017532,0.003616,0.00246,0.008926,0.007409,0.005455,0.01229,0.01348,0.009024,0.003405,0.004222,0.001192,0.006271,0.010887,0.006284,0.002062,0.007257,0.011058,0.001121,0.004355,0.004747,0.003453,0.005198,0.004677,0.003687,0.000917,0.010821,0.010462,0.012699,0.006987,0.0
Brain_Frontal_Cortex_BA9,0.001188,0.004824,0.010541,0.008558,0.004883,0.004597,0.019948,0.04885,0.002764,0.037393,0.038052,0.066867,1.0,0.01176,0.013603,0.026385,0.009063,0.003762,0.007348,0.005296,0.002926,0.000899,0.005681,0.00499,0.009021,0.010373,0.011739,0.0,0.004245,0.001089,0.00115,0.003368,0.00472,0.002597,0.004828,0.010993,0.002493,0.009666,0.005019,0.007552,0.002442,0.004051,0.004019,0.002062,0.005493,0.002695,0.008634,0.007879,0.0
Brain_Hippocampus,0.000948,0.000199,0.010179,0.005638,0.002668,0.007968,0.03669,0.044544,0.051509,0.016722,0.015936,0.027718,0.01176,1.0,0.082111,0.035053,0.012083,0.030625,0.02892,0.002035,0.003979,0.005676,0.005947,0.002826,0.009105,0.004851,0.002833,0.004312,0.008699,0.001672,0.014678,0.011053,0.014768,0.0,0.004979,0.008881,0.0,0.002578,0.006133,0.002592,0.002273,0.004699,0.005189,0.000398,0.006922,0.003681,0.013822,0.00392,0.000299
Brain_Hypothalamus,0.003332,0.002477,0.009603,0.007127,0.005387,0.007018,0.034021,0.039074,0.029428,0.019596,0.016619,0.026724,0.013603,0.082111,1.0,0.02693,0.01837,0.024008,0.025734,0.005634,0.002224,0.012427,0.006561,0.003627,0.014563,0.010017,0.006964,0.006822,0.00978,0.001504,0.013219,0.015257,0.011672,0.0,0.002791,0.008864,0.0,0.005032,0.011576,0.002283,0.00183,0.006786,0.004486,0.000794,0.006397,0.004075,0.018512,0.008766,0.000636
Brain_Nucleus_accumbens_basal_ganglia,0.004098,0.000602,0.00879,0.004165,0.002217,0.00174,0.03596,0.039542,0.023272,0.020066,0.013106,0.04045,0.026385,0.035053,0.02693,1.0,0.013773,0.016957,0.013611,0.000404,0.001195,0.003734,0.003654,0.00276,0.005039,0.005103,0.003631,0.004223,0.004715,0.001523,0.005918,0.005533,0.004779,0.0,0.002942,0.004752,0.000599,0.004788,0.003707,0.005647,0.000966,0.005525,0.002694,0.0,0.010405,0.001121,0.007507,0.004114,0.001227
