,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c_1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV_transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Adipose_Subcutaneous,1.0,0.0134,0.012459,0.018043,0.013018,0.027871,0.009355,0.012812,0.013005,0.008932,0.013986,0.010865,0.010484,0.012074,0.014486,0.010672,0.00274,0.00993,0.013253,0.025641,0.010309,0.008245,0.020569,0.019891,0.026125,0.023256,0.025445,0.01107,0.022444,0.0,0.010977,0.037453,0.009725,0.007692,0.021978,0.017418,0.007246,0.010767,0.018433,0.024048,0.030631,0.013092,0.007852,0.02451,0.014274,0.011712,0.007479,0.017173,0.0
Adipose_Visceral_Omentum,0.0134,1.0,0.041553,0.062791,0.062882,0.049918,0.042596,0.019958,0.059293,0.04222,0.036568,0.033825,0.015758,0.021961,0.025289,0.026028,0.0,0.040418,0.036738,0.010084,0.033764,0.025919,0.066112,0.089431,0.082977,0.075055,0.036412,0.03252,0.03629,0.001175,0.071757,0.075812,0.02728,0.0,0.039409,0.05596,0.050642,0.028677,0.038365,0.054414,0.078613,0.0625,0.047872,0.007067,0.014851,0.048763,0.019453,0.041811,0.0
Adrenal_Gland,0.012459,0.041553,1.0,0.105915,0.08779,0.082319,0.098281,0.066642,0.095546,0.105181,0.120168,0.072896,0.06402,0.092968,0.078692,0.07698,0.005432,0.100883,0.077136,0.0253,0.060187,0.063222,0.105968,0.112181,0.134615,0.097394,0.084449,0.024073,0.031986,0.004561,0.111702,0.100155,0.071159,0.002803,0.102693,0.116067,0.050523,0.058308,0.081724,0.055361,0.044643,0.082622,0.084366,0.011394,0.067467,0.075455,0.069698,0.09249,0.002791
Artery_Aorta,0.018043,0.062791,0.105915,1.0,0.120151,0.114865,0.090198,0.052948,0.10096,0.102099,0.093807,0.076369,0.055592,0.072972,0.057524,0.054728,0.008249,0.101697,0.069979,0.018093,0.048292,0.063991,0.119332,0.134442,0.137128,0.093691,0.088519,0.022541,0.032238,0.00352,0.092593,0.091392,0.062684,0.000739,0.089427,0.113703,0.048496,0.055615,0.062532,0.049002,0.048481,0.094265,0.065077,0.010586,0.049497,0.090656,0.065587,0.090968,0.001473
Artery_Coronary,0.013018,0.062882,0.08779,0.120151,1.0,0.091815,0.057418,0.038844,0.063192,0.06199,0.06675,0.053981,0.035756,0.049727,0.048393,0.038318,0.005139,0.05361,0.04797,0.036496,0.049689,0.038198,0.079971,0.094533,0.136925,0.097436,0.100932,0.046045,0.037563,0.001024,0.066255,0.116009,0.047852,0.001348,0.053659,0.080975,0.065513,0.042049,0.061746,0.077735,0.055258,0.069944,0.076596,0.007362,0.043598,0.060513,0.048209,0.043743,0.005369
Artery_Tibial,0.027871,0.049918,0.082319,0.114865,0.091815,1.0,0.065016,0.04826,0.07519,0.06553,0.076033,0.058043,0.050544,0.069415,0.06444,0.047619,0.002882,0.070345,0.050962,0.027996,0.055923,0.045074,0.09614,0.093788,0.146301,0.100248,0.12,0.031419,0.051208,0.000991,0.071337,0.090318,0.054333,0.001238,0.097919,0.081633,0.035281,0.053058,0.068399,0.067325,0.058425,0.061598,0.053959,0.011403,0.058983,0.09284,0.052174,0.072478,0.003695
Brain_Amygdala,0.009355,0.042596,0.098281,0.090198,0.057418,0.065016,1.0,0.204318,0.219132,0.21634,0.221037,0.202753,0.185211,0.253863,0.178513,0.190328,0.033857,0.199871,0.180501,0.01348,0.054663,0.071897,0.122944,0.126899,0.111756,0.072308,0.063252,0.021257,0.040037,0.010723,0.112552,0.061043,0.061551,0.001924,0.07481,0.122135,0.060176,0.045226,0.054679,0.03853,0.032137,0.099941,0.068138,0.007235,0.059261,0.058642,0.08282,0.120151,0.00128
Brain_Anterior_cingulate_cortex_BA24,0.012812,0.019958,0.066642,0.052948,0.038844,0.04826,0.204318,1.0,0.138776,0.108024,0.135932,0.210377,0.281846,0.199713,0.169039,0.200896,0.055143,0.084729,0.164767,0.018734,0.036481,0.03526,0.076585,0.090792,0.07419,0.054522,0.057749,0.01962,0.048619,0.011703,0.06116,0.046837,0.039632,0.002048,0.053694,0.069641,0.046134,0.040359,0.034467,0.035874,0.024691,0.050569,0.045645,0.003896,0.047657,0.047254,0.047526,0.064218,0.001359
Brain_Caudate_basal_ganglia,0.013005,0.059293,0.095546,0.10096,0.063192,0.07519,0.219132,0.138776,1.0,0.264319,0.255674,0.191056,0.146964,0.210896,0.146337,0.17488,0.025844,0.235048,0.192655,0.013258,0.06337,0.083101,0.141731,0.152071,0.131066,0.09385,0.069049,0.019376,0.040206,0.008808,0.141327,0.074564,0.074018,0.0012,0.073049,0.148209,0.077599,0.046298,0.053938,0.039516,0.043439,0.134331,0.085839,0.007111,0.068072,0.068944,0.099605,0.145304,0.001198
Brain_Cerebellar_Hemisphere,0.008932,0.04222,0.105181,0.102099,0.06199,0.06553,0.21634,0.108024,0.264319,1.0,0.417481,0.181083,0.141192,0.178285,0.124721,0.116385,0.014135,0.277334,0.179729,0.008408,0.059438,0.1027,0.132775,0.136507,0.112163,0.081386,0.051031,0.014363,0.025433,0.008527,0.134229,0.059589,0.084957,0.000709,0.071913,0.146404,0.065413,0.039987,0.05055,0.033962,0.033786,0.123552,0.08571,0.004209,0.067714,0.056316,0.117503,0.14989,0.001062
